Пол,Возраст,Город,Готовность к переезду,Готовность к командировкам,Гражданство,Разрешение на работу,Знания языков,Образование,Дополнительное образование,Зарплата,Время в пути до работы,Занятость,График,Опыт работы (мес),Обязанности на пред.работе,Этап сделки
М,31,Иваново (Ивановская область),готов к переезду,готов к командировкам,Россия,Россия,Русский Немецкий,Высшее образование,no_data,30000.0,не имеет значения,полная занятость,полный день,67,"Звонки клиентам которые оставили заявку на кредит-кредитную карту,первичная консультация и оформление кредита либо кредитной карты,заполнение заявки онлайн вместе с клиентом, Выполнение плана продаж, по звонкам,продажа медицинских масок,термометров,медицинских принадлежностей,работа в битрикс СРМ, Работа на проекте мтс,продажа домашнего интернета потенциальным клиентам,работа по всей России,презентация продукта,работа с возражениями,выполнение плановых показателей, Проверка различных документов на правильность заполнения, Обзвон потенциальных клиентов по горячей базе в системе СРМ, с целью предложения банковских продуктов, работа с возражениями, Работа с клиентами, консультирование клиентов по продуктам страхования, продажи продуктов страхования потенциальным клиентам, отчетность, работа в CRM системе,также холодные звонки и холодные продажи, Продажа услуг компании по телефону, без поиска клиентов, составление отчетности, работа с клиентами в офисе, Продажа дорожно строительной техники,холодные и теплые звонки,презентация товара,выстраивание долгосрочных отношений с клиентом,выставление счетов,работа в CRM системе, развлечение гостей заведения хорошей музыкой",да
Ж,41,Солнечногорск,не готов к переезду,готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,no_data,80000.0,не имеет значения,полная занятость,"сменный график, удаленная работа",222,"Менеджер по лидогенерации. Обзвон холодных баз и заключение сделок., Работа со входящими обращениями по вопросам оформления электронно-цифровых пропусков., Руководство персоналом (10 человек), контроль выполнения продавцами всех этапов продаж, личные продажи, контроль дисциплины и выполнения KPI. Отличительная особенность данных сетевых магазинов-подбор модных образов по запросу покупателя, а также активные продажи дополнительных товаров с точки зрения идеального подбора гардероба., Обеспечение и контроль бесперебойной работы магазинов по всем направлениям.1. Поставки товара. Полный цикл работы с поставщиками, подбор и анализ новых марок, отслеживание товарных остатков, своевременный заказ.2. Контроль приема товара, предпродажная подготовка, выкладка.3. Персонал. Подбор, обучение, адаптация персонала. Разработка мотивационных программ в зависимости от сезона и необходимых показателей.4. Разработка и реализация маркетингового плана, анализ показателей.5. Оценка работы магазина по ключевым показателям.6. Администрирование интернет-магазина нижнего белья, взаимодействие с клиентами, добавление товара на сайт, обновления.7. Ведение страниц магазина нижнего белья в соцсетях., -Документальное обеспечение крупных проектов Федерального уровня по поставке и установке компьютерного оборудования-Отслеживание поставок, оплат-Подготовка отчетов-Работа с базой учета, • Работа с клиентами (прием заказов, согласование ассортимента и условий поставки, информирование об изменениях условий работы и цен, контроль дебиторской задолженности и пр.).• Контроль оплат по выписанным счетам и расходным документам, согласование и замена документов на основании Актов приемки или измененных накладных, претензионная работа.• Формирование заявки на перемещение необходимого из производства товара на склады, согласование и планирование товарных запасов.• Формирование ежедневных отчетов по отгрузкам, оплатам, расчет ретро-бонусов для клиентов, планирование прихода денег от клиентов и пр.• Согласование акций для клиентов, обработка предварительных результатов., • Сбор, оформление проектной документации. Подготовка корреспонденции для согласующих инстанций.• Контроль всех этапов процесса согласования проектной документации.• Сбор документов и оформление аренды земельных участков под проекты.• Заключение договоров с проектными организациями., • Формирование клиентской базы.• Работа с клиентами по размещению рекламы в печатных изданиях и изготовлению полиграфической продукции.• Заключение договоров, согласование условий работы, контроль дебиторской задолженности.• Согласование, утверждение с клиентами рекламных макетов• Организация фирменного стенда на профильной выставке.",нет
Ж,26,Шымкент,готов к переезду,готов к командировкам,Казахстан,Казахстан,Казахский Английский Русский Турецкий,Высшее образование,Школа бизнеса «Синегрия»,54000.0,не имеет значения,полная занятость,полный день,109,"Продажа пакетов обучения, выполнение плана., руководство отделом продаж;планирование работы отдела (идеология, цели, задачи, мотивация);подбор, адаптация и обучение сотрудников;поиск и привлечение клиентов;составление отчетности;ведение, поддержание и развитие клиентской базы.создание мотивационных программ;анализ рынка и сбор информации о клиентах;представление компании на конференциях и демонстрационных мероприятиях., Прием и распределение входящих сообщений, электронных писем, ведение клиентской базы. Консультативная поддержка клиентов, предоставление всей нужной инфрмации клиенту по услугам. Продажа продуктов компании., Оперативное управление магазином (все ежедневные процессы).Обеспечение выполнения плана продаж магазина.Управление персоналом. Часто в обязанности входит подбор кадров.Учет товара, ТМЦ. ...Взаимодействие с контролирующими и государственными органами.Отчетность, обучение продавцов-стажеров и штатных мерчендайзеров",нет
М,30,Саранск,готов к переезду,готов к командировкам,Россия,Россия,Русский,Высшее образование,no_data,50000.0,не имеет значения,полная занятость,"полный день, удаленная работа",126,"- Обработка входящих звонков и заявок.- Прозванивал клиентов по базы.- Подбор теплиц под заказчика.- Выставление КП, счетов, заключение договоров, контроль оплаты.- Работа с действующей АКБ.- Ведение заказов в CRM.- Выполнение плана продаж, ведение отчетности, контроль документооборота.- Продажа сопутствующих товаров;- Работа с проблемными заказами;, - Обработка входящих обращений, почта, заказы на сайте;- Работа с текущей клиентской базой и ее расширение;- Подготовка коммерческих предложений,выставление счетов, контроль поступления денежных средств;- Выполнение плана продаж и KPI;- Развитие и поддержание дилерской сети;- Отгрузка заказов (курьерская служба, ТК, самовывоз);- Взаимодействие с отделом закупок;- Работы с дебиторской задолженностью;- Проводил встречи и переговоры;- Заключение договоров с клиентами;- Контроль и ведение внутреннего документооборота;- Работа с рекламацией;, - Обработка входящего потока запросов интернет-магазина: телефон, электронная почта, заказы на сайте;- Выставление счетов, контроль их оплаты, отгрузка заказов (курьерская служба, ТК, самовывоз);- Работа с действующей АКБ (поддержание и развитие отношений с партнерами);- Взаимодействие с отделом закупок, логистики, бухгалтерии;- Контроль работы с дебиторской задолженностью;- Заключение договоров с клиентами;- Контроль и ведение внутреннего документооборота;- Работа с рекламацией;- Неоднократно по результатам организованных опросов входил в тройку лидеров по качеству обслуживания клиентов;- имеется рекомендательное письмо с места работы., - Обработка входящего потока запросов интернет-магазина: телефон, электронная почта, заказы на сайте;- Выставление счетов;- Выполнение плана продаж;- Контроль оплаты покупателями товаров по заключенным договорам;- Взаимодействие с отделом закупок;- Контроль отгрузки продукции клиентам;- Продажа доп. услуг: гарантии, уценки, перевод на моржу., - Продажа мелкой быт.техники, КБТ, компьютерной техники;- Консультация клиентов;- Сборка и ремонт компьютеров;- Ведение переговоров с поставщиками;- Приём и расстановка данного товара на витринные стеллажи;- работа с накладными.",да
Ж,52,Днепр (Днепропетровск),готов к переезду,готов к командировкам,Украина,Украина,Русский,Среднее специальное образование,no_data,52200.0,не имеет значения,полная занятость,удаленная работа,290,"продажа курсов по Финансовой грамотности, сопровождение клиента с последующей продажей услуг компании, Продажа полиса ОСАГО, консультирование клиентов и продажа товара повышение среднего чека за счет продажи дополнительного товара, обучение ЛТМов прямым продажам и помощь в заключении сделки, имела 3 магазина с не продовольственной группой товара",нет
Ж,53,Екатеринбург,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,Premaman Academy® Бельгия,40000.0,не имеет значения,полная занятость,удаленная работа,77,"▫ Продвижение домашнего интернета и цифрового телевидения ▫ Исходящие звонки по готовой базе клиентов ▫ Холодные продажи ▫ Консультирование и подбор тарифных планов ▫ Приём и оформление заявок., ▫ Собеседования по входящему потоку заявок ▫ Работа с документами ▫ Регистрация водителей в диспетчерскую Яндекс Такси ▫ Обучение водителей работе с Таксометром ▫ Оперативное реагирование на обращения водителей клиентов 24 на 7 ▫ Взаимодействие со службой поддержки сервиса Яндекс ▫ отчетность и аналитика, ▫ Ведение телефонных переговоров с клиентами▫ Активные холодные продажи по предоставляемой базе клиентов ▫ Удалённые презентации ▫ Работа с минимальными требованиями по заполнению заявки, ▫ Приём входящих звонков ▫ Совершение исходящих звонков по заданной базе ▫ Консультирование клиента через IP телефонию ▫ Холодные продажи ▫ Подбор продуктов банка ▫ Оформление полной заявки на кредитные продукты банка ▫ Тестирование новых продуктов и направлений бизнеса группы компаний Тинькофф",нет
М,31,Минск,готов к переезду,готов к командировкам,Беларусь,no_data,Русский Английский,Высшее образование,"Бизнес-школа ""Здесь и сейчас""",58688.0,не имеет значения,полная занятость,полный день,102,"- Привлечение и развитие новых клиентов- Поддержание и развитие отношений с постоянными клиентами (работа с ""тёплой"" базой)- Заключение договоров с клиентами и контроль оплаты- Расчет запросов на перевозку, согласование условий перевозки и прием заявок- Контроль грузоперевозок и информирование клиентов- Ведение установленной корпоративной отчётности, Увеличение продаж в своем секторе, поиск и привлечение новых клиентов. Ведение клиентской базы. Полное сопровождение клиентов и консультирование. Ведение отчетности по продажам. Проведение встреч с первыми лицами компании. Холодные звонки., Увеличение продаж в своем секторе, поиск и привлечение новых клиентов. Ведение клиентской базы. Полное сопровождение клиентов и консультирование. Ведение отчетности по продажам. Ведение закупочной деятельности. Ценообразование. Работа со складом. Контроль отгрузок. Постоянный мониторинг рынка. Выполнение плана продаж.Из личных достижений стоит выделить:- Увеличение рентабельности отдела, по сравнению с предыдущим руководителем на 15-18% по всем основным направлением.-Заключение контракта на поставку продукции с лидером рынка в одном из сегментов, на индивидуальных условиях., Контроль поступления платежейРабота с возражениямиРабота с MS Office, Jira, Confluence, - Кассовый учет- Учет расчетов в иностранной валюте- Работа с 1с",нет
Ж,53,Екатеринбург,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,Premaman Academy® Бельгия,40000.0,не имеет значения,полная занятость,удаленная работа,270,"▫ Продвижение домашнего интернета и цифрового телевидения ▫ Исходящие звонки по готовой базе клиентов ▫ Холодные продажи ▫ Консультирование и подбор тарифных планов ▫ Приём и оформление заявок., ▫ Собеседования по входящему потоку заявок ▫ Работа с документами ▫ Регистрация водителей в диспетчерскую Яндекс Такси ▫ Обучение водителей работе с Таксометром ▫ Оперативное реагирование на обращения водителей клиентов 24 на 7 ▫ Взаимодействие со службой поддержки сервиса Яндекс ▫ отчетность и аналитика, ▫ Ведение телефонных переговоров с клиентами▫ Активные холодные продажи по предоставляемой базе клиентов ▫ Удалённые презентации ▫ Работа с минимальными требованиями по заполнению заявки, ▫ Приём входящих звонков ▫ Совершение исходящих звонков по заданной базе ▫ Консультирование клиента через IP телефонию ▫ Холодные продажи ▫ Подбор продуктов банка ▫ Оформление полной заявки на кредитные продукты банка ▫ Тестирование новых продуктов и направлений бизнеса группы компаний Тинькофф, ▫ Аудит комплекса маркетинга и выявления в целом проблемного поля сети. Участие в сессии стратегического планирования, подготовка дополнений к стандартам продаж и мерчандайзинга, корректировке политики взаимоотношений с ТМ и разрешенных к выкладке групп ОТС ассортимента, предложения по формату позиционирования «дискаунтер».▫ Корректировка бизнес процессов по борьбе с дефектурой, преобразованию справочной службы в call-центр, поиску и утверждению помещений для новых аптек на основе маркетинговых принципов, предложений по дисконтной программе, политике ассортимента и ценообразования, Стратегическое планирование / Антикризисное управлениеУправление внешнеэкономической деятельностью, ▫Служба маркетинга:● Управление маркетингом предприятий Группы Компаний:● Управление маркетинговой деятельностью аптечной сети «Здравник»:▫Разработка и реализация маркетинговой стратегии▫Расширение форматов сети:▫Расширение сети:▫Брендменеджмент:▫Стимулирование продаж:▫Управление отношениями с товарными марками:, ▫Руководство агентством по продаже комплексных трейд маркетинговых услуг: управление персоналом клиентской службы 20 человек, разработка презентаций, креатива акций, формирование портфеля заказов, школа промоутеров и мерчандайзеров 1500 человек/год, дистанционное управление персоналом до 500 человек одновременно. Компания признана лучшей в своем сегменте рынка▫Организовала более 400 проектов., ▫Руководство подразделением по разработке и внедрению инновационных проектов медицинской направленности: информационно диагностические экспертные системы Derm™ и ProfScreen™, лабораторный комплекс анализа биологических изображений семейства SIAMS 600™: анализ клеток крови, автоматизация процесса подсчёта числа хромосом, модули АРМ под маркой Med Office™ по автоматизация «истории болезни» и деятельности медучреждения▫Анализ, постановка задач It отделу, координация под руководством техн. директора производственного процесса, взаимодействие и согласование требований с заказчиками, запуск продуктов в клиниках-разработчиках, выявление положительных и отрицательных сторон информационных решений, разработка методических учебных материалов, пользовательской документации, внедрение, подготовка и участие в презентациях, выставках, R-шоу, ▫Опыт открытия металлотрейдингового бизнеса «с нуля», конкурсный подбор персонала, в том числе в других городах, регламентация бизнес-процессов, участие в переговорах с ключевыми клиентами, оперативное руководство маркетинговой и коммерческой деятельностью, контроль финансовых потоков, отчетность перед акционерами. Заключила договора на поставки дефицитного сортамента: ММК, УГМК, УралКабель, КамскийКабель, РыбинскКабель, УМК, ЧМЗ, ВИЗсталь, осуществила контроль оптовых вагонных поставок черного и цветного металлопроката по территории РФ. Отстояла интересы компании в арбитраже, ▫Научная работа по совершенствованию способов разливки металла на отраслевых заводах. Сданы экзамены в аспирантуру, внедрена экспериментальная технология на НТМК, собраны теоретические и экспериментальные данные по научной теме «Влияние вибрационной обработки на неметаллические включения в непрерывно-литой заготовке стали», опубликованы первые итоги в журнале Сталь, после перевода публикации в зарубежных изданиях получили предложения о сотрудничестве из Швейцарии и Японии.",нет
Ж,37,Воронеж,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Французский,Среднее образование,no_data,70000.0,не более часа,полная занятость,"полный день, удаленная работа",71,"Работа с людьми, выписка первичной документации, работа с входящим потоком звонков, заявок ,электронной почтой, консультация по наличию товара на складе, создание приходно-расходных накладных работа с большим потоком информации, заключение договоров, работа в 1с v8 УТ, внесение партнеров в базу данных, выставление счетов на оплату, рассылка торговых накладных., Выписка первичной документации (товарные накладные), контроль отгрузок и доставки,составление отчетов, ведение кассовой дисциплины, инкассация, ведение данных товаров в 1С v 8.0.находящихся на складе и в реализации, ведение электронных баз данных, ведение телефонных переговоров, работа в торговом зале с покупателями, участие в инвентаризациях. Поддержание чистоты в торговом зале, распределение должностных обязанностей между сотрудниками, ведение графика сотрудников, подбор персонала., Консультирование покупателей, выставка товара, контроль поддержания чистоты в торговом зале, участие в инвентаризациях и приемке товара. Работа с покупателями:Консультирование, оформление продажи, работа на кассе, Выписка первичной документации (товарные накладные), ведение отчетов, ведение электронных баз данных, ведение телефонных переговоров, подбор и обучение персонала, Консультирование покупателей, выставка товара, поддержание чистоты в торговом зале, участие в инвентаризациях и приемке товара. Работа с клиентами:Консультация, оформление заказов в программе 1С v 7, выписка первичной документации (товарные накладные), контроль отгрузок и доставки, составление отчетов, создание и ведение электронных баз данных, подбор персонала, обучение и постепенное введение в штат.",да
М,34,Москва,готов к переезду,готов к командировкам,Республика Северный Судан,Россия,Арабский Африкаанс Английский Французский Русский,Высшее образование,master degree public administration,110040.0,не имеет значения,"частичная занятость, полная занятость","удаленная работа, гибкий график, полный день, сменный график",84,"""Selling our companys product through phone, our customers are from Ghana, I used to work with CRM system"", ""I was banking health care analysis, so bring new investors to the company, some one with capital to invest in the one of the companys progect"", calling clients signing contracts with customer, teaching French as second language, : Certificate of teaching from knowledge village. teaching French language as second language",нет
М,23,Москва,не готов к переезду,готов к командировкам,Бангладеш,Россия,Бенгальский Английский Русский,Высшее образование,no_data,30000.0,не имеет значения,полная занятость,полный день,25,"This is my second job in Pharmacy area which is contracted under the PPO health insurance plan of USA. Although this is not sales depends, we make deals with clients from USA., I work as an English teacher as part time on weekends. I always love teaching profession . I use to teach English to the children, teens and adults learners., Very smart and interesting job. I have been working as Junior Sales Manager. I use to lead the American customers to sell our Pharmaceutical products through cold Calling and emailing.",нет
М,25,Москва,готов к переезду,готов к командировкам,Азербайджан,Россия,Русский Азербайджанский Английский Итальянский Немецкий Турецкий,Высшее образование,bachelor's degree,70000.0,не имеет значения,полная занятость,полный день,42,"-Conducting individual online English lessons-Providing optimal care and academic support to students, -Providing information to foreign students who want to study, conduct research, or participate in internships at Sapienza University.- Helping students contact the right offices and people., -Upon check-in, registered guest, assigned the room and accommodated special requests whenever possible-Daily review the Night Audit reports related to the Front Office",нет
Ж,31,Москва,готов к переезду,готов к командировкам,Россия,"Россия, Турция",Русский Английский Арабский Испанский Турецкий,Высшее образование,Лига Плюща,30000.0,не более часа,"частичная занятость, полная занятость","гибкий график, полный день, сменный график, удаленная работа",135,"- Полное и частичное администратирование- Ведение ежедневного календаря руководителя- Выполнение поручений руководства- Осуществление коммуникаций по запросу руководителя (с партнерами, сотрудниками, персоналом, в т. ч. назначение встреч, совещаний, переговоров и т. д.)- Ведение деловой переписки- Участие в телефонных и скайп- переговорах- Участие в конференциях, совещаниях, выставках международного формата.- Travel поддержка- Подготовка документов различного плана, - Служба гостеприимства.- Встреча гостей и посетителей бассейна.- Решения конфликтных ситуаций.- Продажа абонементов.- Отчетность и документооборот.- Проведение развлекательных и спортивных мероприятий., - соблюдение международных стандартов качества гостиничного бизнеса;- прием и размещение гостей;- бронирование номеров;- установление корпоративного обслуживания;- отслеживание гостиничной загрузки по номерному фонду;- прием звонков‚ консультирование по телефону;- решение конфликтных ситуаций;- проведение ночного аудита‚ закрытие смены;- прием оплаты за оказанные услуги‚ контроль за своевременной оплатой счетов;- работа с документами;- работа на кассе;- оформление визовых приглашений;- помощь гостям в решении различных вопросов;- контроль персонала;- поддержания идеальной чистоты и гостеприимной обстановки;- Организация и контроль банкетов, свадеб и детских праздников.- Контроль закупки.- Управление бадминтон-клуба.- Сауна (ведение дел, продажа и развитие)., Работала на территории стран:Египет, Турция, Индия, Вьетнам, Испания, Андорра.• Проведение экскурсионно-исторических программ.• Проведение информационных встреч с туристами.• Выполнение плановых экономических и индивидуальных показателей эффективности.• Активное привлечение клиентов из закрепленного рыночного сегмента.• Проведение переговоров, заключение договоров.• Продажа туристического продукта.• Организация презентаций и мероприятий.• Контроль документооборота.• Контроль сотрудников, платежей.• Ведение отчетности.• Решение проблем и экстренных ситуаций.• Продажа туров по всем направлениям.• Обслуживание клиентов в офисе и по телефону.• Полное ведение и постпродажное сопровождение заявки.• Работа с системами САМО, он-лайн бронирования, Мастер, Амадеус.",нет
М,41,Москва,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский Немецкий,Высшее образование,no_data,70000.0,не имеет значения,полная занятость,удаленная работа,233,"работа с иностранными поставщиками, взаимодействие с транспортными компаниями, ведение переговоров, сопровождение контрактов, увеличение степени удовлетворенности и лояльности клиентов, анализ рынка и ключевых потребностей клиентов, выстраивание продуктивных взаимоотношений с ключевыми клиентами и их поддержание на соответствующем уровнеКлючевые навыки• навыки деловой переписки;• навыки делового общения;• навыки создания, развития и ведения клиентской базы;• навыки обеспечения жизнедеятельности офиса;• навыки оперативного поиска информации в сети Интернет;• навыки планирования продаж;• навыки проведения анализа продаж / рынка и деятельности конкурентов / экономических показателей деятельности компании;• навыки осуществления закупок товара;• навыки проведения инвентаризации на складе;",да
Ж,30,Уфа,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,no_data,50000.0,не имеет значения,"частичная занятость, проектная работа","гибкий график, сменный график, удаленная работа",49,"Контент и продвижение в инстаграмме и на фейсбуке коуч тренеров, психологоы и салонов красоты., Курировать студентов школы и менеджеров по продажам, проверять домашние задания, работа в AmoCRM & Getcourse. Выполнять план продаж. Теплые и холодные звонки. Проверка звонков менеджеров, прописывание скрипта продаж и документации, Коучинг сессии, работа с клиентами по их запросам ( деньги, работа мотивация), консультирование клиентов по финансовым продуктам, холодные звонки, работа с документацией, 1с Предприятие",да
Ж,24,Гомель,готов к переезду,не готов к командировкам,Беларусь,Россия,Русский,Высшее образование,no_data,25000.0,не имеет значения,полная занятость,"удаленная работа, полный день",29,"Обзвон базы и привлечение клиентов на бизнес тренинги, Обзвон компаний, дозвон до директоров, на счет потребности в разработке, доработки сайта, привлечении клиентов и настройка рекламы, работа в Гугл таблице, также есть опыт работы в битриксе и амо crm, Звонить по готовой базе и предлагать оформить кредитную карту и заполнять заявку на эту карту, Работа с документами. Ведение претензионной работы (составление претензий и ответов на них), составление заявлений о возбуждении исковых и приказных производств и др",нет
Ж,34,Красногорск,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,no_data,40000.0,не имеет значения,"частичная занятость, проектная работа","гибкий график, удаленная работа",106,За все время трудовой деятельности бухгалтером работала на разных участках. В последнее время на участке Банк и расчет заработной платы по нескольким юр.лицам с обособленными подразделениями и общей численностью более 600 чел. (плюс подготовка и сдача зарплатной отчетности),нет
М,40,Чебоксары,не готов к переезду,не готов к командировкам,Россия,Россия,Русский Английский,Высшее образование,no_data,50000.0,не имеет значения,"проектная работа, стажировка, частичная занятость, полная занятость",удаленная работа,246,"телефонные переговоры с абонентами, допродажа телекоммуникационных услуг - интернет, домашнее телевидение, сотовая связь; сверка сведений, содержащихся в базах данных, с информацией, указанной в первичных документах абонентов, внесение корректировок в базы данных, Курирование проектов, осуществляемых фондом., Проведение служебных и антикоррупционных проверок, проведение аналитической работы с целью выявления признаков нарушения законодательства, проведение проверок деклараций, ведение производства по делам об административных правонарушениях, проведение аналитической работы с целью выявления признаков нарушения таможенного законодательства, проведение таможенного контроля, участие в досудебных и судебных разбирательствах по результатам таможенных проверок, делопроизводство отдела, проведение налогового контроля; приём налогоплательщиков, Осуществление перевозок изделий в тарах, на поддонах на электропогрузчике в цеху, на электрокаре между цехами. Осуществление погрузочно-разгрузочных работ на электропогрузчике и с помощью кран-балки., Осуществление закалки металлических изделий - пальцы, колёса, катки, сегменты колёс., Контроль перемещения автотранспорта, физических лиц через КПП. Осуществление обхода вверенной территории.",нет
